DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),
11/4/2006 05:30:00, 11.9,127.7,  5.2,  2.6, 17.795, 29.09,  0.0,  0.0,  0.028, 345.47,  0.084, 253.50,  0.097, 241.58,  0.122, 285.75,  0.079, 245.38,  0.096, 300.04,  0.092, 293.77,  0.067, 306.53,  0.083, 334.36,  0.088, 228.69,  0.086, 243.73,  0.040, 292.07,  0.022, 300.07,  0.017, 147.26,  0.032, 111.80,
11/4/2006 06:00:00, 11.9,127.8,  5.2,  2.6, 17.829, 29.09,  0.0,  0.0,  0.035, 286.39,  0.094, 345.23,  0.117, 268.53,  0.058, 300.96,  0.066, 236.07,  0.107, 355.72,  0.037, 304.99,  0.073, 301.50,  0.122, 346.19,  0.095, 333.71,  0.098, 287.88,  0.058, 289.06,  0.100, 292.23,  0.107, 303.99,  0.019, 291.25,
11/4/2006 06:30:00, 11.9,127.6,  5.1,  2.6, 17.849, 29.09,  0.0,  0.0,  0.081, 276.34,  0.037, 304.99,  0.082, 349.51,  0.055, 280.49,  0.048, 305.68,  0.116,   0.00,  0.079, 358.55,  0.043, 293.55,  0.093, 232.88,  0.054, 271.06,  0.051, 252.98,  0.027, 263.66,  0.033, 252.12,  0.044, 344.05,  0.041, 288.43,
11/4/2006 07:00:00, 11.9,127.6,  5.1,  2.6, 17.870, 29.06,  0.0,  0.0,  0.040, 275.71,  0.041,  99.93,  0.022, 344.05,  0.041, 279.93,  0.130, 270.88,  0.117, 334.75,  0.147, 323.83,  0.087, 341.98,  0.071, 307.03,  0.081, 258.55,  0.096, 270.00,  0.066, 295.02,  0.075, 324.20,  0.035, 263.48,  0.043, 283.39,
11/4/2006 07:30:00, 11.9,127.7,  5.1,  2.6, 17.882, 29.00,  0.0,  0.0,  0.048, 171.53,  0.011, 296.57,  0.090, 176.19,  0.058, 195.00,  0.065, 272.64,  0.265, 350.22,  0.193, 335.16,  0.126, 286.57,  0.115, 281.50,  0.107, 273.21,  0.148, 274.25,  0.148, 277.75,  0.089, 281.06,  0.055, 305.42,  0.110, 303.11,
11/4/2006 08:00:00, 11.9,127.6,  5.1,  2.6, 17.891, 29.00,  0.0,  0.0,  0.097, 230.88,  0.048, 325.98,  0.045, 228.58,  0.069, 277.54,  0.097, 274.71,  0.169, 343.82,  0.099, 319.09,  0.076, 270.00,  0.095, 309.04,  0.070, 276.52,  0.098, 285.31,  0.122, 279.93,  0.143, 278.02,  0.076, 316.61,  0.081, 332.18,
11/4/2006 08:30:00, 11.9,127.7,  5.1,  2.6, 17.883, 29.01,  0.0,  0.0,  0.078, 229.16,  0.041, 225.00,  0.103, 274.44,  0.129, 270.00,  0.127, 289.87,  0.273, 338.32,  0.197, 339.55,  0.069, 279.19,  0.086, 314.53,  0.079, 292.34,  0.075, 282.36,  0.085, 283.55,  0.079, 262.69,  0.028, 255.47,  0.080, 280.75,
11/4/2006 09:00:00, 11.9,127.7,  5.1,  2.6, 17.874, 29.00,  0.0,  0.0,  0.025,  11.31,  0.049, 319.14,  0.060, 279.62,  0.075, 249.62,  0.096, 286.93,  0.131, 324.00,  0.163, 330.12,  0.111, 296.10,  0.098, 277.63,  0.064, 283.60,  0.074, 293.10,  0.077, 292.91,  0.061, 284.26,  0.035, 355.10,  0.047, 331.78,
11/4/2006 09:30:00, 11.9,127.7,  5.1,  2.6, 17.876, 29.00,  0.0,  0.0,  0.078, 185.86,  0.118, 249.73,  0.102, 242.43,  0.113, 272.03,  0.109, 317.23,  0.209, 343.90,  0.128, 322.95,  0.061, 271.88,  0.080, 264.29,  0.074, 222.27,  0.071, 253.61,  0.067, 286.53,  0.046, 334.00,  0.047, 279.87,  0.175, 311.06,
11/4/2006 10:00:00, 11.9,127.6,  5.1,  2.6, 17.832, 29.02,  0.0,  0.0,  0.033, 266.53,  0.039, 280.44,  0.087, 270.66,  0.078, 261.87,  0.102, 245.19,  0.209, 338.71,  0.143, 320.09,  0.084, 265.24,  0.082, 247.17,  0.089, 283.72,  0.115, 283.55,  0.084, 262.45,  0.077, 251.10,  0.068, 270.84,  0.157, 304.60,
