DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),
5/30/2009 15:00:00, 11.9,117.4,  1.6, -4.4, 16.649, 27.85,  0.0,  0.0,  0.083, 232.31,  0.046, 180.00,  0.042, 286.70,  0.058, 195.95,  0.010, 315.00,  0.046,  38.85,  0.053, 282.99,  0.074, 157.91,  0.078, 170.42,  0.072, 141.22,  0.093, 122.66,  0.027, 124.29,  0.042, 105.02,  0.113,   3.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 16:00:00, 11.9,117.4,  1.6, -4.4, 16.649, 27.88,  0.0,  0.0,  0.041, 318.95,  0.040,  72.47,  0.055, 157.62,  0.056, 298.86,  0.013, 274.40,  0.033, 215.13,  0.002, 333.43,  0.048, 112.25,  0.035, 193.24,  0.044, 165.65,  0.005, 111.80,  0.027, 231.01,  0.045, 165.96,  0.042, 319.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 17:00:00, 11.9,117.4,  1.6, -4.4, 16.648, 27.89,  0.0,  0.0,  0.052, 300.02,  0.033, 298.89,  0.091, 257.95,  0.064, 243.03,  0.083, 263.81,  0.004,  90.00,  0.019, 152.10,  0.023, 172.57,  0.050, 147.26,  0.056,  94.09,  0.037,  18.92,  0.047,  73.89,  0.034, 169.70,  0.026, 249.44,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 18:00:00, 11.9,117.4,  1.6, -4.4, 16.642, 27.90,  0.0,  0.0,  0.046,  77.47,  0.036, 189.46,  0.021,  58.57,  0.060, 229.71,  0.048, 219.96,  0.014, 162.90,  0.045, 213.34,  0.088, 268.05,  0.045, 149.47,  0.073, 132.22,  0.056, 149.74,  0.005, 216.87,  0.049, 265.33,  0.009, 186.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 19:00:00, 11.9,117.3,  1.6, -4.4, 16.642, 27.90,  0.0,  0.0,  0.032, 251.57,  0.069, 326.31,  0.076, 273.76,  0.020, 171.47,  0.033, 164.29,  0.064, 200.97,  0.075, 240.35,  0.011,  37.87,  0.067, 130.79,  0.022, 206.57,  0.052, 181.10,  0.054, 142.50,  0.048, 124.02,  0.094, 270.61,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 20:00:00, 11.9,117.3,  1.6, -4.4, 16.654, 27.72,  0.0,  0.0,  0.045, 152.30,  0.029, 324.69,  0.015, 281.31,  0.031, 256.87,  0.050, 250.11,  0.066, 258.69,  0.114, 195.74,  0.088, 163.43,  0.054, 134.26,  0.071, 184.83,  0.055, 215.42,  0.084, 160.48,  0.052, 198.08,  0.155, 200.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 21:00:00, 11.9,117.3,  1.6, -4.4, 16.684, 27.49,  0.0,  0.0,  0.039, 157.38,  0.089, 219.56,  0.028, 343.50,  0.017, 200.56,  0.047, 240.71,  0.051, 186.71,  0.023, 230.19,  0.088, 172.15,  0.015, 195.95,  0.022, 201.80,  0.067, 208.47,  0.019, 235.49,  0.039, 111.25,  0.087, 221.74,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 22:00:00, 11.9,117.3,  1.6, -4.4, 16.726, 27.34,  0.0,  0.0,  0.004, 303.69,  0.040, 286.14,  0.041, 120.96,  0.042, 111.04,  0.061, 337.67,  0.097, 236.80,  0.077, 174.07,  0.065, 125.64,  0.067, 238.45,  0.033, 223.78,  0.034, 159.44,  0.015, 246.80,  0.033, 171.38,  0.087, 229.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 23:00:00, 11.9,117.4,  1.6, -4.4, 16.763, 27.33,  0.0,  0.0,  0.036, 186.34,  0.074, 108.92,  0.086, 243.14,  0.025, 296.57,  0.051, 154.44,  0.032, 181.79,  0.045, 137.73,  0.008, 270.00,  0.023,  72.35,  0.040, 110.73,  0.024, 247.75,  0.018,   9.46,  0.007,  26.57,  0.059, 225.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 00:00:00, 11.9,117.3,  1.6, -4.4, 16.795, 27.22,  0.0,  0.0,  0.059,  53.33,  0.085, 340.07,  0.037, 184.64,  0.049, 194.04,  0.042, 143.67,  0.019, 214.51,  0.040, 138.01,  0.065, 246.57,  0.118, 244.31,  0.062, 253.03,  0.060, 273.81,  0.050, 207.60,  0.072, 215.91,  0.083, 251.78,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
