DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),
3/29/2007 14:00:00, 11.9,142.8,  4.3, -6.7, 16.718, 27.11,  0.0,  0.0,  0.031,  84.47,  0.003, 341.57,  0.017, 120.96,  0.020, 159.78,  0.032, 244.23,  0.017, 259.99,  0.028, 257.47,  0.037, 255.96,  0.065, 173.85,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 15:00:00, 11.9,142.8,  4.3, -6.8, 16.730, 27.12,  0.0,  0.0,  0.100, 134.19,  0.052, 162.26,  0.030, 240.02,  0.033, 188.62,  0.032, 270.00,  0.031, 163.30,  0.036, 213.69,  0.028, 188.13,  0.132, 115.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 16:00:00, 11.9,142.8,  4.3, -6.8, 16.736, 27.12,  0.0,  0.0,  0.002,   0.00,  0.031, 222.40,  0.010,  90.00,  0.025, 248.63,  0.009,   0.00,  0.022, 226.85,  0.053, 182.16,  0.033, 165.96,  0.090, 150.02,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 17:00:00, 11.9,142.8,  4.3, -6.8, 16.742, 27.11,  0.0,  0.0,  0.021, 207.76,  0.031, 284.93,  0.049, 246.04,  0.046, 252.35,  0.078, 248.06,  0.036, 234.09,  0.041, 230.91,  0.060, 243.43,  0.084, 261.10,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 18:00:00, 11.9,142.8,  4.3, -6.7, 16.749, 27.11,  0.0,  0.0,  0.073, 105.95,  0.015,  36.87,  0.016, 341.57,  0.006, 350.54,  0.052, 188.91,  0.031, 181.85,  0.018, 163.61,  0.049, 239.24,  0.038, 172.50,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 19:00:00, 11.9,142.7,  4.3, -6.8, 16.748, 27.11,  0.0,  0.0,  0.052, 172.33,  0.056, 201.04,  0.014,   4.09,  0.016, 288.43,  0.040, 312.95,  0.037, 271.55,  0.044, 230.53,  0.023, 293.20,  0.026, 190.89,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 20:00:00, 11.9,142.8,  4.3, -6.7, 16.749, 27.08,  0.0,  0.0,  0.025, 226.64,  0.028,  55.18,  0.019,  55.49,  0.028, 140.71,  0.042, 180.00,  0.009, 249.44,  0.063, 231.48,  0.039, 246.04,  0.073, 273.92,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 21:00:00, 11.9,142.8,  4.3, -6.8, 16.732, 27.06,  0.0,  0.0,  0.025, 139.90,  0.028, 139.40,  0.033, 297.35,  0.042, 263.21,  0.020, 113.96,  0.017, 270.00,  0.002, 333.43,  0.016, 108.43,  0.030, 160.35,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 22:00:00, 11.9,142.7,  4.3, -6.8, 16.731, 27.06,  0.0,  0.0,  0.016,   3.58,  0.006,  45.00,  0.065, 254.90,  0.007, 236.31,  0.015, 180.00,  0.031, 181.85,  0.007, 171.87,  0.024, 184.76,  0.031, 142.77,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/29/2007 23:00:00, 11.9,142.8,  4.3, -6.8, 16.714, 27.06,  0.0,  0.0,  0.011,  74.74,  0.031, 202.48,  0.023,  59.04,  0.045, 112.04,  0.004, 116.57,  0.031, 210.65,  0.043, 173.37,  0.041, 160.25,  0.096, 256.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 00:00:00, 11.9,142.8,  4.3, -6.8, 16.695, 27.06,  0.0,  0.0,  0.011, 190.30,  0.007, 188.13,  0.033,  41.35,  0.011, 142.13,  0.007, 270.00,  0.009, 237.99,  0.006, 128.66,  0.020, 212.91,  0.094, 272.44,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 01:00:00, 11.9,142.7,  4.3, -6.7, 16.695, 27.06,  0.0,  0.0,  0.018, 220.60,  0.038, 103.67,  0.035,  81.87,  0.016, 183.58,  0.015, 168.69,  0.007,  90.00,  0.030, 132.27,  0.020, 177.14,  0.018, 209.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 02:00:00, 11.9,142.8,  4.3, -6.7, 16.724, 27.06,  0.0,  0.0,  0.029,  51.95,  0.028, 248.96,  0.042, 178.64,  0.032, 102.72,  0.030,  48.99,  0.007, 171.87,  0.003, 161.57,  0.017, 193.24,  0.100, 256.66,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 03:00:00, 11.9,142.7,  4.3, -6.8, 16.736, 27.06,  0.0,  0.0,  0.058, 276.88,  0.037,  12.53,  0.010, 180.00,  0.062, 129.81,  0.033, 158.84,  0.025, 205.56,  0.010,  36.87,  0.001, 180.00,  0.092, 263.73,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 04:00:00, 11.9,142.7,  4.3, -6.7, 16.773, 27.05,  0.0,  0.0,  0.001, 180.00,  0.073, 117.61,  0.013, 167.01,  0.008,  66.80,  0.015,  66.80,  0.084, 101.71,  0.024, 104.62,  0.035, 228.50,  0.074, 273.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 05:00:00, 11.9,142.7,  4.3, -6.7, 16.821, 27.05,  0.0,  0.0,  0.045,  51.34,  0.036,  99.73,  0.023,  70.02,  0.020,  63.43,  0.030, 103.57,  0.040,  92.86,  0.066, 139.30,  0.051, 176.63,  0.011,   0.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 06:00:00, 11.9,142.8,  4.3, -6.7, 16.849, 27.04,  0.0,  0.0,  0.044,  13.09,  0.050,  43.36,  0.025, 191.31,  0.029, 112.17,  0.006,  45.00,  0.022,  95.19,  0.040,  98.53,  0.033, 160.46,  0.050, 233.13,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 07:00:00, 11.9,142.7,  4.3, -6.7, 16.862, 27.03,  0.0,  0.0,  0.071,  45.57,  0.009, 290.56,  0.021, 301.43,  0.039, 165.26,  0.022,  95.19,  0.021, 289.29,  0.005, 306.87,  0.015, 180.00,  0.091, 267.48,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 08:00:00, 11.9,142.8,  4.3, -6.8, 16.862, 27.04,  0.0,  0.0,  0.020, 336.04,  0.058,  94.93,  0.011, 326.31,  0.024,  85.24,  0.019, 334.80,  0.042, 268.64,  0.026, 327.53,  0.054, 307.50,  0.064, 282.72,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 09:00:00, 11.9,142.8,  4.3, -6.7, 16.850, 27.05,  0.0,  0.0,  0.048, 150.26,  0.033,  81.38,  0.016,  71.57,  0.024, 109.18,  0.028, 139.40,  0.017, 210.96,  0.005, 270.00,  0.031, 234.25,  0.065, 255.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 10:00:00, 11.9,142.7,  4.3, -6.7, 16.840, 27.06,  0.0,  0.0,  0.040, 172.87,  0.010, 286.70,  0.006, 149.04,  0.005,   0.00,  0.016, 232.43,  0.020, 113.96,  0.019, 235.49,  0.044, 270.00,  0.107, 294.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 11:00:00, 11.9,142.7,  4.3, -6.7, 16.799, 27.06,  0.0,  0.0,  0.004, 345.96,  0.042, 215.22,  0.051, 180.00,  0.025, 203.50,  0.013, 247.38,  0.016, 142.43,  0.009, 200.56,  0.031, 243.43,  0.030, 246.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 12:00:00, 11.9,142.7,  4.3, -6.7, 16.775, 27.05,  0.0,  0.0,  0.048, 171.53,  0.014, 355.91,  0.031, 303.18,  0.009, 180.00,  0.013,  22.62,  0.029, 262.15,  0.021, 135.00,  0.015,  78.69,  0.066, 239.93,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 13:00:00, 11.8,142.7,  4.3, -6.7, 16.734, 27.06,  0.0,  0.0,  0.045, 239.47,  0.015, 352.41,  0.017,  90.00,  0.033, 227.49,  0.047, 237.99,  0.023, 180.00,  0.026, 239.42,  0.043, 231.55,  0.156, 261.14,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 14:00:00, 11.8,142.7,  4.3, -6.7, 16.717, 27.09,  0.0,  0.0,  0.011, 164.74,  0.031, 153.43,  0.021,  19.29,  0.026, 180.00,  0.033, 115.02,  0.015, 180.00,  0.037, 249.62,  0.059, 199.98,  0.149, 259.97,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 15:00:00, 11.8,142.7,  4.3, -6.7, 16.706, 27.05,  0.0,  0.0,  0.022,  57.72,  0.036, 110.92,  0.054, 137.23,  0.028, 136.47,  0.004, 243.43,  0.023, 311.42,  0.018,  86.82,  0.044, 288.43,  0.156, 236.21,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 16:00:00, 11.8,142.7,  4.3, -6.7, 16.705, 27.06,  0.0,  0.0,  0.037, 249.62,  0.030, 103.57,  0.012, 199.98,  0.027, 164.93,  0.017, 225.00,  0.004, 194.04,  0.013, 270.00,  0.033, 254.29,  0.102, 222.61,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 17:00:00, 11.8,142.7,  4.3, -6.7, 16.733, 27.06,  0.0,  0.0,  0.033,  90.00,  0.044, 120.07,  0.005, 216.87,  0.056, 107.78,  0.025, 228.18,  0.038, 230.39,  0.043, 185.31,  0.056, 209.74,  0.111, 245.51,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 18:00:00, 11.8,142.8,  4.3, -6.7, 16.757, 27.04,  0.0,  0.0,  0.029, 174.09,  0.029, 155.22,  0.049, 123.37,  0.050, 153.95,  0.009, 130.60,  0.017, 339.44,  0.005,  90.00,  0.057, 215.66,  0.122, 211.21,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 19:00:00, 11.8,142.8,  4.3, -6.7, 16.757, 27.03,  0.0,  0.0,  0.039, 209.20,  0.047, 173.93,  0.045, 152.30,  0.020, 159.78,  0.019, 222.88,  0.021, 202.83,  0.023,  92.49,  0.019, 207.90,  0.114, 249.97,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 20:00:00, 11.8,142.8,  4.3, -6.7, 16.768, 27.02,  0.0,  0.0,  0.018, 218.16,  0.009, 296.57,  0.014, 252.90,  0.044, 164.05,  0.030, 158.55,  0.008, 150.26,  0.034, 157.25,  0.001, 180.00,  0.076, 248.48,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 21:00:00, 11.8,142.7,  4.3, -6.7, 16.765, 27.00,  0.0,  0.0,  0.040,  79.82,  0.004, 345.96,  0.005, 180.00,  0.065,  81.12,  0.006,  90.00,  0.029, 333.43,  0.022, 339.15,  0.025, 288.43,  0.135, 251.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/30/2007 22:00:00, 11.8,142.8,  4.3, -6.7, 16.763, 26.98,  0.0,  0.0,  0.023,  39.81,  0.010,   5.71,  0.005, 281.31,  0.002,  90.00,  0.010, 106.70,  0.035,  96.52,  0.015, 118.30,  0.013, 135.00,  0.098, 264.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
