DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m)
5/27/2016 5:00,11.9,217.3,7.1,9.7,19.843,28.2,0,0,0.095,160.22,0.126,140.49,0.093,178.15,0.108,162.74,0.096,166.11,0.11,172.68,0.086,205.38,0.042,247.69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 6:00,11.9,217.3,7.1,9.7,19.826,28.2,0,0,0.082,228.95,0.075,202.8,0.055,168.49,0.067,186.81,0.042,208.39,0.056,181.02,0.029,273.95,0.07,296.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 7:00,11.9,217.3,7.1,9.7,19.79,28.15,0,0,0.115,280.53,0.056,307.69,0.059,323.33,0.037,315,0.022,54.16,0.029,90,0.006,350.54,0.066,291.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 8:00,11.9,217.3,7.1,9.7,19.758,28.09,0,0,0.022,313.15,0.026,357.8,0.04,343.86,0.053,6.46,0.037,17.45,0.031,300.65,0.081,341.34,0.057,34.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 9:00,11.9,217.3,7.1,9.7,19.735,28.05,0,0,0.015,289.65,0.025,348.69,0.07,335.62,0.115,356.02,0.038,352.5,0.061,51.63,0.053,28.01,0.168,340.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 10:00,11.9,217.3,7.1,9.6,19.69,28.14,0,0,0.04,308.88,0.037,270,0.077,344.88,0.084,344.8,0.086,12.09,0.078,20.98,0.134,1.28,0.264,358.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 11:00,11.9,217.3,7.1,9.7,19.718,28.12,0,0,0.073,286.7,0.021,250.71,0.018,16.39,0.014,24.78,0.009,333.43,0.061,45,0.101,60.4,0.184,344.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 12:00,11.9,217.3,7.1,9.6,19.703,28.13,0,0,0.075,180,0.028,124.82,0.059,246.93,0.041,147.85,0.066,148.74,0.049,163.41,0.011,5.19,0.178,3.22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 13:00,11.9,217.3,7.1,9.7,19.702,28.14,0,0,0.048,169.16,0.069,219.7,0.074,190.86,0.054,197.1,0.072,201.21,0.07,182.45,0.027,291.8,0.19,3.31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 14:00,11.9,217.3,7.1,9.6,19.695,28.1,0,0,0.077,208.91,0.023,228.58,0.031,176.31,0.028,137.86,0.043,209.58,0.043,177.34,0.027,274.24,0.181,337.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 15:00,11.9,217.3,7,9.6,19.708,28.2,0,0,0.041,195.38,0.019,137.12,0.001,0,0.074,270,0.013,311.99,0.025,281.31,0.069,326.77,0.173,24.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 16:00,11.9,217.3,7,9.6,19.692,28.24,0,0,0.049,177.66,0.072,179.2,0.037,235.89,0.041,239.04,0.023,192.8,0.009,296.57,0.062,311.71,0.199,353.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 17:00,11.9,217.3,7,9.6,19.696,28.28,0,0,0.092,191.92,0.07,179.18,0.059,186.77,0.046,246.8,0.023,287.65,0.04,281.59,0.069,315,0.176,1.63,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 18:00,11.9,217.3,7,9.6,19.66,28.3,0,0,0.014,265.91,0.053,217.3,0.068,205.07,0.068,238.89,0.064,251.85,0.025,180,0.064,324.57,0.144,358.01,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 19:00,11.9,217.3,7,9.6,19.649,28.31,0,0,0.056,84.9,0.029,215.31,0.021,318.81,0.013,292.62,0.013,274.4,0.006,270,0.118,319.82,0.302,337,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 20:00,11.9,217.3,7,9.6,19.623,28.34,0,0,0.016,259.38,0.027,344.93,0.077,26.23,0.047,25.46,0.024,335.56,0.089,339.52,0.141,353.08,0.207,345.76,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 21:00,11.9,217.3,7.1,9.6,19.612,28.26,0,0,0.106,34.59,0.065,344.9,0.086,358,0.103,1.11,0.079,352.69,0.062,326.82,0.113,333.66,0.227,347.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 22:00,11.9,217.3,7.1,9.6,19.624,28.21,0,0,0.074,340.35,0.066,17.61,0.085,350.54,0.096,318.37,0.071,316.7,0.083,332.82,0.103,318.92,0.261,343.99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/27/2016 23:00,11.9,217.3,7.1,9.6,19.655,28.21,0,0,0.04,330.26,0.027,33.11,0.062,34.46,0.108,351.5,0.09,343.79,0.06,8.67,0.077,359.26,0.193,338.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 0:00,11.9,217.3,7.1,9.6,19.68,28.22,0,0,0.052,41.08,0.036,24.44,0.041,285.38,0.03,287.24,0.044,320.53,0.076,298.25,0.098,302.88,0.164,332.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 1:00,11.9,217.3,7,9.6,19.727,28.24,0,0,0.021,334.65,0.042,329.74,0.005,143.13,0.049,92.34,0.02,107.53,0.038,52.52,0.03,0,0.087,311.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 2:00,11.9,217.3,7,9.6,19.789,28.24,0,0,0.006,270,0.006,329.04,0.022,122.28,0.008,97.13,0.052,265.6,0.017,259.99,0.063,250.41,0.091,329.79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 3:00,11.9,217.3,7,9.6,19.825,28.23,0,0,0.039,322.25,0.077,234.46,0.059,172.15,0.063,151.39,0.072,171.19,0.083,182.07,0.055,257.47,0.065,344.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 4:00,11.9,217.3,7,9.6,19.862,28.2,0,0,0.124,157.77,0.081,176.47,0.087,166.76,0.104,197.91,0.057,198.43,0.068,150.05,0.057,125.07,0.035,349.99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 5:00,11.9,217.3,7,9.6,19.876,28.19,0,0,0.13,170.25,0.12,145.91,0.102,179.44,0.1,198.62,0.138,186.25,0.11,178.96,0.109,246.25,0.066,262.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 6:00,11.9,217.3,7,9.6,19.886,28.21,0,0,0.045,185.08,0.029,192.09,0.041,199.75,0.067,192.99,0.11,180,0.079,171.97,0.022,149.93,0.029,284.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 7:00,11.9,217.3,7,9.6,19.854,28.13,0,0,0.064,262.87,0.009,276.34,0.021,117.76,0.071,184.83,0.08,169.95,0.061,193.35,0.04,213.69,0.018,167.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 8:00,11.9,217.3,7,9.6,19.835,28.07,0,0,0.042,263.21,0.03,342.76,0.038,61.39,0.013,311.99,0.036,332.02,0.016,137.49,0.01,216.87,0.014,135,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 9:00,11.9,217.3,7.1,9.6,19.809,28.06,0,0,0.045,324.9,0.033,324.87,0.059,19.65,0.029,0,0.023,28.81,0.02,11.31,0.072,348.85,0.135,339.15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 10:00,11.9,217.3,7,9.6,19.768,28.07,0,0,0.064,339.03,0.045,341.97,0.048,10.84,0.079,6.58,0.079,3.62,0.117,6.88,0.12,26.14,0.096,19.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 11:00,11.9,217.3,7,9.6,19.735,28.16,0,0,0.059,306.1,0.08,0.72,0.095,342.14,0.082,330.95,0.066,322.43,0.055,347.47,0.108,353.07,0.246,350.15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 12:00,11.9,217.3,7,9.6,19.738,28.13,0,0,0.064,15.33,0.039,14.74,0.024,117.65,0.022,149.93,0.021,100.78,0.022,79.7,0.05,6.84,0.289,344.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 13:00,11.9,217.3,7,9.6,19.726,28.15,0,0,0.092,279.36,0.04,171.47,0.025,135,0.075,176.95,0.077,151.45,0.059,125.31,0.031,358.15,0.153,3.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 14:00,11.9,217.3,7,9.6,19.718,28.19,0,0,0.109,215.29,0.099,152.4,0.122,166.19,0.105,180.55,0.065,161.29,0.085,207.16,0.027,233.97,0.099,337.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 15:00,11.9,217.3,7,9.6,19.72,28.19,0,0,0.061,190.39,0.063,198.43,0.051,169.8,0.079,221.93,0.072,243.79,0.077,237.76,0.069,269.17,0.247,336.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 16:00,11.9,217.3,7,9.6,19.731,28.21,0,0,0.011,338.2,0.015,187.59,0.031,247.52,0.04,292.07,0.072,299.05,0.058,285,0.082,319.47,0.095,344.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 17:00,11.9,217.3,7,9.6,19.721,28.24,0,0,0.043,232.59,0.046,214.38,0.006,170.54,0.011,174.81,0.019,353.99,0.055,33.98,0.063,357.27,0.081,332.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 18:00,11.9,217.3,7,9.6,19.715,28.24,0,0,0.075,189.96,0.078,166.68,0.033,111.16,0.069,142.63,0.002,180,0.036,27.98,0.048,30.34,0.095,16.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 19:00,11.9,217.3,7,9.6,19.695,28.26,0,0,0.062,187.47,0.08,192.3,0.072,155.56,0.056,193.54,0.039,232.25,0.004,206.57,0.045,313.21,0.156,315,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 20:00,11.9,217.3,7,9.6,19.698,28.27,0,0,0.027,4.24,0.042,270,0.045,7.59,0.059,63,0.046,307.87,0.036,337.01,0.072,354.45,0.237,2.42,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 21:00,11.9,217.3,7.1,9.6,19.677,28.25,0,0,0.096,302.2,0.034,258.02,0.026,290.56,0.04,341.11,0.031,343.3,0.009,0,0.066,343.22,0.209,353.69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 22:00,11.9,217.3,7.1,9.6,19.664,28.23,0,0,0.044,1.3,0.035,39.17,0.051,318.18,0.081,317.01,0.071,347.74,0.076,349.43,0.085,358.65,0.143,355.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/28/2016 23:00,11.9,217.3,7,9.6,19.659,28.2,0,0,0.147,300.23,0.054,294.18,0.077,309.24,0.067,6.81,0.088,352.79,0.093,0,0.052,8.91,0.187,334.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 0:00,11.9,217.2,7,9.6,19.69,28.17,0,0,0.094,315.43,0.087,327.23,0.076,340.85,0.062,297.8,0.044,306.61,0.038,340.14,0.068,3.37,0.139,337.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 1:00,11.9,217.3,7.1,9.6,19.699,28.17,0,0,0.021,221.19,0.043,209.58,0.022,212.28,0.043,270,0.006,71.57,0.018,176.82,0.042,64.65,0.083,343.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 2:00,11.9,217.3,7,9.6,19.761,28.17,0,0,0.045,260.96,0.071,274.83,0.016,259.38,0.036,257.12,0.021,264.56,0.056,202.93,0.043,215.54,0.039,120.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 3:00,11.9,217.3,7,9.6,19.794,28.18,0,0,0.106,186.52,0.076,192.2,0.082,171.57,0.089,188.4,0.067,168.86,0.081,169.38,0.04,230.01,0.02,249.78,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 4:00,11.9,217.3,7,9.6,19.822,28.2,0,0,0.143,179.6,0.106,178.38,0.096,173.99,0.089,158.32,0.078,155.07,0.127,175.95,0.068,200.56,0.088,171.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 5:00,11.9,217.3,7,9.6,19.836,28.19,0,0,0.022,161.57,0.052,164.36,0.053,185.39,0.033,171.38,0.041,145.92,0.045,173.66,0.061,244.7,0.013,318.01,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 6:00,11.9,217.3,7.1,9.6,19.852,28.14,0,0,0.036,258.69,0.043,137.82,0.052,232.03,0.036,144.09,0.061,211.61,0.06,209.15,0.044,251.57,0.008,246.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 7:00,11.9,217.3,7.1,9.6,19.855,28.11,0,0,0.059,242.56,0.004,296.57,0.03,222.27,0.046,214.38,0.034,190.3,0.055,215.42,0.072,215.91,0.034,171.63,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 8:00,11.9,217.3,7.1,9.6,19.819,28.05,0,0,0.062,213.18,0.052,185.49,0.051,206.57,0.04,187.13,0.031,230.19,0.059,133.64,0.031,99.16,0.018,102.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 9:00,11.9,217.3,7.1,9.6,19.79,28.05,0,0,0.022,230.53,0.069,33.23,0.034,150.46,0.027,111.8,0.046,167.47,0.04,137.05,0.04,159.27,0.102,359.44,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 10:00,11.9,217.3,7.1,9.6,19.743,28.06,0,0,0.012,221.63,0.025,276.84,0.027,19.8,0.115,60.75,0.067,62.28,0.008,209.74,0.011,201.8,0.037,358.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 11:00,11.8,217.3,7.1,9.6,19.724,28.07,0,0,0.059,336.04,0.061,334.7,0.044,10.54,0.068,350.68,0.066,344.05,0.063,355.46,0.13,347.14,0.167,338.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 12:00,11.8,217.2,7,9.6,19.704,28.1,0,0,0.049,312.51,0.06,304.22,0.047,2.44,0.066,14.88,0.093,356.31,0.086,33.14,0.071,336.7,0.22,350.32,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 13:00,11.8,217.3,7.1,9.6,19.683,28.12,0,0,0.06,343.66,0.035,311.5,0.04,319.09,0.036,313.88,0.052,342.26,0.031,9.16,0.076,350.17,0.116,334.98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 14:00,11.8,217.3,7.1,9.6,19.674,28.12,0,0,0.032,255.53,0.003,270,0.047,247.29,0.031,217.23,0.018,183.18,0.051,217.78,0.039,284.74,0.136,337.02,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 15:00,11.8,217.3,7.1,9.6,19.673,28.17,0,0,0.037,195.52,0.011,228.81,0.061,185.62,0.011,236.31,0.018,180,0.025,180,0.015,328.39,0.143,26.21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 16:00,11.8,217.3,7,9.6,19.708,28.19,0,0,0.077,205.24,0.034,200.56,0.044,174.81,0.03,209.98,0.047,177.56,0.033,186.91,0.027,325.71,0.229,344.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 17:00,11.8,217.3,7.1,9.6,19.718,28.2,0,0,0.059,201.8,0.058,171.03,0.028,188.13,0.043,230.71,0.027,231.01,0.021,62.24,0.057,0,0.254,348.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 18:00,11.8,217.3,7,9.6,19.704,28.21,0,0,0.103,167.05,0.109,179.47,0.075,182.29,0.079,203.01,0.076,184.51,0.062,180.92,0.074,239.97,0.095,331.82,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 19:00,11.8,217.3,7,9.6,19.712,28.21,0,0,0.089,158.32,0.094,149.88,0.099,180,0.092,197.06,0.091,225.9,0.083,214.65,0.1,270,0.131,353.85,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 20:00,11.8,217.3,7,9.5,19.714,28.24,0,0,0.024,253.07,0.028,135,0.032,270,0.017,103.24,0.009,90,0.079,303.69,0.116,310.44,0.255,331.62,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 21:00,11.8,217.2,7,9.6,19.681,28.26,0,0,0.026,60.52,0.03,70.35,0.032,347.28,0.042,291.04,0.047,333.43,0.044,354.81,0.027,355.76,0.113,357.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 22:00,11.8,217.3,7.1,9.6,19.683,28.27,0,0,0.086,10.78,0.04,327.09,0.039,300.47,0.028,351.87,0.049,23.96,0.054,323.34,0.036,342.07,0.095,323.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/29/2016 23:00,11.8,217.3,7.1,9.6,19.667,28.26,0,0,0.025,248.63,0.066,21.48,0.062,350.69,0.084,330.09,0.084,328.57,0.064,322.59,0.026,297.55,0.133,303.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 0:00,11.8,217.3,7.1,9.6,19.677,28.23,0,0,0.104,339.12,0.068,356.63,0.072,318.96,0.109,309.81,0.14,315.58,0.159,317.56,0.133,304.89,0.138,307.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 1:00,11.8,217.3,7.1,9.6,19.672,28.21,0,0,0.071,301.24,0.068,277.65,0.049,260.54,0.05,263.16,0.048,296.03,0.011,84.81,0.039,280.44,0.14,340.79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 2:00,11.8,217.3,7,9.6,19.708,28.2,0,0,0.047,253.89,0.051,198.43,0.039,201.25,0.042,206.57,0.018,225,0.033,271.74,0.045,263.66,0.063,331.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 3:00,11.8,217.3,7.1,9.6,19.738,28.2,0,0,0.052,166.76,0.064,187.13,0.057,200.67,0.08,183.58,0.075,198.68,0.051,186.71,0.028,267.95,0.047,99.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 4:00,11.8,217.3,7,9.5,19.77,28.21,0,0,0.158,170.18,0.067,174.04,0.114,203.86,0.151,207.58,0.116,195,0.133,197.07,0.075,220.68,0.028,117.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 5:00,11.8,217.2,7,9.6,19.774,28.22,0,0,0.149,171.49,0.124,190.22,0.117,169.65,0.115,171.52,0.09,169.07,0.084,180,0.034,227.39,0.082,234.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 6:00,11.8,217.2,7.1,9.6,19.808,28.21,0,0,0.104,178.35,0.075,153.78,0.1,180.57,0.078,168.11,0.108,202.29,0.098,175.33,0.066,203.09,0.02,327.09,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 7:00,11.8,217.3,7.1,9.6,19.82,28.18,0,0,0.045,257.2,0.036,247.01,0.08,228.54,0.047,173.93,0.056,142.93,0.04,167.01,0.045,251.97,0.051,169.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 8:00,11.8,217.2,7.1,9.6,19.799,28.14,0,0,0.033,248.84,0.08,215.87,0.062,221.71,0.055,208.44,0.095,156.41,0.088,141.44,0.036,186.34,0.084,173.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 9:00,11.8,217.2,7.1,9.6,19.782,28.1,0,0,0.045,293.7,0.058,69.68,0.038,295.2,0.018,16.39,0.028,133.53,0.059,113.07,0.08,116.89,0.072,179.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 10:00,11.8,217.2,7.1,9.6,19.754,28.08,0,0,0.049,333.43,0.029,337.83,0.016,322.43,0.018,209.36,0.08,108.21,0.06,103.57,0.14,139.35,0.167,148.51,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 11:00,11.8,217.2,7.1,9.6,19.732,28.09,0,0,0.048,274.76,0.037,336.19,0.016,320.19,0.075,318.24,0.074,347.47,0.033,351.38,0.037,310.6,0.185,339.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/30/2016 12:00,11.8,217.2,7.1,9.6,19.684,28.13,0,0,0.072,270,0.008,23.2,0.039,304.51,0.057,297.01,0.073,9.46,0.077,352.5,0.062,345.96,0.175,347.15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
